fecha,NMT,laeq
2014-01-01,3,61.05
2014-01-01,4,70.7
2014-01-01,5,64.475
2014-01-01,8,68.07499999999999
2014-01-01,10,64.45
2014-01-01,11,68.475
2014-01-01,12,70.55
2014-01-01,13,71.4
2014-01-01,14,66.65
2014-01-01,16,62.9
2014-01-01,17,67.9
2014-01-01,18,70.775
2014-01-01,19,65.5
2014-01-01,20,64.125
2014-01-01,24,47.9
2014-01-01,27,67.05
2014-01-01,28,68.05
2014-01-01,29,56.925
2014-01-01,30,56.375
2014-01-01,31,61.5
2014-01-01,47,67.325
2014-01-01,48,62.825
2014-01-01,54,61.325
2014-01-01,55,59.599999999999994
2014-01-01,86,59.75
2014-01-02,3,63.225
2014-01-02,4,64.925
2014-01-02,5,61.15
2014-01-02,8,69.5
2014-01-02,10,64.42500000000001
2014-01-02,11,68.925
2014-01-02,12,63.65
2014-01-02,13,58.425
2014-01-02,14,66.125
2014-01-02,16,62.25
2014-01-02,17,59.45
2014-01-02,18,53.075
2014-01-02,19,61.125
2014-01-02,20,62.7
2014-01-02,24,46.7
2014-01-02,27,60.8
2014-01-02,28,66.89999999999999
2014-01-02,29,56.925
2014-01-02,30,60.275
2014-01-02,31,64.27499999999999
2014-01-02,47,59.325
2014-01-02,48,62.225
2014-01-02,54,60.95
2014-01-02,55,54.85
2014-01-02,86,58.625
2014-01-03,3,61.05
2014-01-03,4,65.30000000000001
2014-01-03,5,61.225
2014-01-03,8,69.35
2014-01-03,10,64.725
2014-01-03,11,69.375
2014-01-03,12,63.35
2014-01-03,13,58.175000000000004
2014-01-03,14,66.15
2014-01-03,16,62.775
2014-01-03,17,54.699999999999996
2014-01-03,18,53.625
2014-01-03,19,62.575
2014-01-03,20,63.375
2014-01-03,24,46.65
2014-01-03,27,62.900000000000006
2014-01-03,28,67.275
2014-01-03,29,57.7
2014-01-03,30,59.45
2014-01-03,31,64.825
2014-01-03,47,53.85
2014-01-03,48,62.825
2014-01-03,54,61.425
2014-01-03,55,54.35
2014-01-03,86,57.125
2014-01-04,3,61.2
2014-01-04,4,65.75
2014-01-04,5,62.074999999999996
2014-01-04,8,69.375
2014-01-04,10,63.925
2014-01-04,11,69.275
2014-01-04,12,64.375
2014-01-04,13,58.375
2014-01-04,14,65.775
2014-01-04,16,62.1
2014-01-04,17,58.075
2014-01-04,18,53.825
2014-01-04,19,62.125
2014-01-04,20,64.425
2014-01-04,24,50.425
2014-01-04,27,64.45
2014-01-04,28,66.4
2014-01-04,29,56.55
2014-01-04,30,58.65
2014-01-04,31,64.64999999999999
2014-01-04,47,55.45
2014-01-04,48,62.775
2014-01-04,54,62.025
2014-01-04,55,54.5
2014-01-04,86,58.45
2014-01-05,3,60.2
2014-01-05,4,65.19999999999999
2014-01-05,5,59.975
2014-01-05,8,67.75
2014-01-05,10,63.025
2014-01-05,11,68.575
2014-01-05,12,64.55
2014-01-05,13,57.1
2014-01-05,14,64.9
2014-01-05,16,61.05
2014-01-05,17,53.6
2014-01-05,18,52.95
2014-01-05,19,60.175
2014-01-05,20,60.55
2014-01-05,24,45.5
2014-01-05,27,59.725
2014-01-05,28,65.675
2014-01-05,29,56.1
2014-01-05,30,55.7
2014-01-05,31,63.05
2014-01-05,47,54.45
2014-01-05,48,64.525
2014-01-05,54,59.4
2014-01-05,55,52.875
2014-01-05,86,55.025
2014-01-06,3,59.025
2014-01-06,4,64.375
2014-01-06,5,59.5
2014-01-06,8,67.575
2014-01-06,10,62.575
2014-01-06,11,67.775
2014-01-06,12,63.25
2014-01-06,13,57.9
2014-01-06,14,64.625
2014-01-06,16,60.8
2014-01-06,17,53.525
2014-01-06,18,55.5
2014-01-06,19,60.2
2014-01-06,20,60.3
2014-01-06,24,44.95
2014-01-06,27,67.7
2014-01-06,28,66.325
2014-01-06,29,56.775
2014-01-06,30,54.475
2014-01-06,31,59.675
2014-01-06,47,55.6
2014-01-06,48,60.825
2014-01-06,54,58.35
2014-01-06,55,51.75
2014-01-06,86,55.0
2014-01-07,3,60.150000000000006
2014-01-07,4,64.67500000000001
2014-01-07,5,60.375
2014-01-07,8,67.8
2014-01-07,10,63.175
2014-01-07,11,67.9
2014-01-07,12,63.875
2014-01-07,13,57.275000000000006
2014-01-07,14,64.25
2014-01-07,16,61.525
2014-01-07,17,54.65
2014-01-07,18,53.525000000000006
2014-01-07,19,60.075
2014-01-07,20,61.025
2014-01-07,24,45.875
2014-01-07,27,66.725
2014-01-07,28,65.375
2014-01-07,29,56.75
2014-01-07,30,57.7
2014-01-07,31,61.875
2014-01-07,47,54.55
2014-01-07,48,61.2
2014-01-07,54,58.824999999999996
2014-01-07,55,53.625
2014-01-07,86,55.0
2014-01-08,3,59.7
2014-01-08,4,64.825
2014-01-08,5,60.025
2014-01-08,8,67.8
2014-01-08,10,63.175
2014-01-08,11,67.8
2014-01-08,12,62.675
2014-01-08,13,56.325
2014-01-08,14,64.7
2014-01-08,16,61.225
2014-01-08,17,56.45
2014-01-08,18,53.425
2014-01-08,19,60.65
2014-01-08,20,61.825
2014-01-08,24,46.7
2014-01-08,27,61.4
2014-01-08,28,65.475
2014-01-08,29,56.75
2014-01-08,30,58.55
2014-01-08,31,61.8
2014-01-08,47,54.349999999999994
2014-01-08,48,61.45
2014-01-08,54,59.050000000000004
2014-01-08,55,54.4
2014-01-08,86,55.7
2014-01-09,3,59.5
2014-01-09,4,64.975
2014-01-09,5,60.0
2014-01-09,8,67.675
2014-01-09,10,63.425
2014-01-09,11,68.05
2014-01-09,12,63.325
2014-01-09,13,56.175
2014-01-09,14,65.15
2014-01-09,16,61.725
2014-01-09,17,55.125
2014-01-09,18,55.4
2014-01-09,19,60.900000000000006
2014-01-09,20,61.575
2014-01-09,24,48.1
2014-01-09,27,62.9
2014-01-09,28,65.5
2014-01-09,29,56.675
2014-01-09,30,58.15
2014-01-09,31,61.675
2014-01-09,47,55.6
2014-01-09,48,61.55
2014-01-09,54,59.05
2014-01-09,55,55.375
2014-01-09,86,55.825
2014-01-10,3,60.825
2014-01-10,4,66.225
2014-01-10,5,60.9
2014-01-10,8,68.225
2014-01-10,10,64.3
2014-01-10,11,68.675
2014-01-10,12,63.2
2014-01-10,13,57.0
2014-01-10,14,65.35
2014-01-10,16,61.375
2014-01-10,17,58.425
2014-01-10,18,54.275
2014-01-10,19,60.575
2014-01-10,20,61.1
2014-01-10,24,47.075
2014-01-10,27,62.175000000000004
2014-01-10,28,65.57499999999999
2014-01-10,29,57.475
2014-01-10,30,58.65
2014-01-10,31,62.150000000000006
2014-01-10,47,60.6
2014-01-10,48,61.775
2014-01-10,54,59.45
2014-01-10,55,55.875
2014-01-10,86,57.275
2014-01-11,3,62.1
2014-01-11,4,66.025
2014-01-11,5,60.625
2014-01-11,8,67.925
2014-01-11,10,63.2
2014-01-11,11,67.975
2014-01-11,12,63.074999999999996
2014-01-11,13,57.175
2014-01-11,14,64.325
2014-01-11,16,60.175
2014-01-11,17,54.175
2014-01-11,18,57.2
2014-01-11,19,60.625
2014-01-11,20,60.775
2014-01-11,24,46.075
2014-01-11,27,59.95
2014-01-11,28,64.875
2014-01-11,29,55.925
2014-01-11,30,56.974999999999994
2014-01-11,31,61.949999999999996
2014-01-11,47,51.55
2014-01-11,48,61.8
2014-01-11,54,58.975
2014-01-11,55,52.475
2014-01-11,86,57.875
2014-01-12,3,60.175
2014-01-12,4,65.3
2014-01-12,5,59.95
2014-01-12,8,67.6
2014-01-12,10,62.85
2014-01-12,11,67.02499999999999
2014-01-12,12,62.75
2014-01-12,13,54.925
2014-01-12,14,63.55
2014-01-12,16,60.0
2014-01-12,17,53.7
2014-01-12,18,55.225
2014-01-12,19,59.55
2014-01-12,20,60.325
2014-01-12,24,46.425
2014-01-12,27,59.225
2014-01-12,28,64.375
2014-01-12,29,56.075
2014-01-12,30,54.975
2014-01-12,31,61.475
2014-01-12,47,52.425
2014-01-12,48,61.125
2014-01-12,54,58.325
2014-01-12,55,52.0
2014-01-12,86,54.925
2014-01-13,3,59.8
2014-01-13,4,65.125
2014-01-13,5,61.325
2014-01-13,8,68.525
2014-01-13,10,63.5
2014-01-13,11,68.4
2014-01-13,12,62.55
2014-01-13,13,56.475
2014-01-13,14,64.975
2014-01-13,16,62.05
2014-01-13,17,54.125
2014-01-13,18,53.925
2014-01-13,19,60.7
2014-01-13,20,64.675
2014-01-13,24,45.225
2014-01-13,27,61.475
2014-01-13,28,66.075
2014-01-13,29,57.125
2014-01-13,30,59.6
2014-01-13,31,61.825
2014-01-13,47,54.3
2014-01-13,48,62.324999999999996
2014-01-13,54,59.35
2014-01-13,55,53.85
2014-01-13,86,56.725
2014-01-14,3,60.85
2014-01-14,4,64.85
2014-01-14,5,60.55
2014-01-14,8,67.925
2014-01-14,10,63.7
2014-01-14,11,68.025
2014-01-14,12,63.1
2014-01-14,13,56.75
2014-01-14,14,64.5
2014-01-14,16,62.224999999999994
2014-01-14,17,56.6
2014-01-14,18,53.325
2014-01-14,19,60.85
2014-01-14,20,66.3
2014-01-14,24,47.0
2014-01-14,27,61.125
2014-01-14,28,65.975
2014-01-14,29,57.05
2014-01-14,30,59.45
2014-01-14,31,61.725
2014-01-14,47,55.0
2014-01-14,48,61.975
2014-01-14,54,59.125
2014-01-14,55,54.9
2014-01-14,86,56.575
2014-01-15,3,61.675
2014-01-15,4,65.825
2014-01-15,5,60.6
2014-01-15,8,68.675
2014-01-15,10,63.3
2014-01-15,11,68.0
2014-01-15,12,62.725
2014-01-15,13,56.375
2014-01-15,14,64.55
2014-01-15,16,61.675
2014-01-15,17,54.15
2014-01-15,18,53.35
2014-01-15,19,59.875
2014-01-15,20,61.099999999999994
2014-01-15,24,44.45
2014-01-15,27,60.8
2014-01-15,28,65.9
2014-01-15,29,58.025
2014-01-15,30,58.825
2014-01-15,31,61.75
2014-01-15,47,53.575
2014-01-15,48,62.2
2014-01-15,54,59.325
2014-01-15,55,53.35
2014-01-15,86,56.8
2014-01-16,3,60.8
2014-01-16,4,65.85
2014-01-16,5,61.05
2014-01-16,8,68.95
2014-01-16,10,64.5
2014-01-16,11,69.0
2014-01-16,12,64.225
2014-01-16,13,56.475
2014-01-16,14,65.7
2014-01-16,16,62.4
2014-01-16,17,54.949999999999996
2014-01-16,18,53.925
2014-01-16,19,61.325
2014-01-16,20,61.7
2014-01-16,24,45.7
2014-01-16,27,62.25
2014-01-16,28,66.75
2014-01-16,29,57.4
2014-01-16,30,59.8
2014-01-16,31,62.325
2014-01-16,47,54.050000000000004
2014-01-16,48,62.725
2014-01-16,54,60.125
2014-01-16,55,54.675
2014-01-16,86,57.224999999999994
2014-01-17,3,61.75
2014-01-17,4,66.275
2014-01-17,5,61.075
2014-01-17,8,69.0
2014-01-17,10,64.675
2014-01-17,11,68.65
2014-01-17,12,63.925
2014-01-17,13,56.55
2014-01-17,14,65.45
2014-01-17,16,61.875
2014-01-17,17,54.825
2014-01-17,18,53.625
2014-01-17,19,60.475
2014-01-17,20,61.375
2014-01-17,24,47.125
2014-01-17,27,61.650000000000006
2014-01-17,28,66.35
2014-01-17,29,57.725
2014-01-17,30,61.400000000000006
2014-01-17,31,62.725
2014-01-17,47,54.575
2014-01-17,48,62.4
2014-01-17,54,59.75
2014-01-17,55,54.05
2014-01-17,86,56.925
2014-01-18,3,61.85
2014-01-18,4,66.15
2014-01-18,5,61.475
2014-01-18,8,69.75
2014-01-18,10,65.25
2014-01-18,11,69.875
2014-01-18,12,64.25
2014-01-18,13,56.75
2014-01-18,14,65.7
2014-01-18,16,61.925
2014-01-18,17,55.55
2014-01-18,18,53.775
2014-01-18,19,60.825
2014-01-18,20,62.175
2014-01-18,24,45.275
2014-01-18,27,60.15
2014-01-18,28,66.3
2014-01-18,29,57.25
2014-01-18,30,59.225
2014-01-18,31,64.45
2014-01-18,47,53.775
2014-01-18,48,63.3
2014-01-18,54,60.85
2014-01-18,55,53.6
2014-01-18,86,56.65
2014-01-19,3,60.75
2014-01-19,4,65.1
2014-01-19,5,61.075
2014-01-19,8,68.35
2014-01-19,10,63.725
2014-01-19,11,68.55
2014-01-19,12,62.9
2014-01-19,13,56.8
2014-01-19,14,64.15
2014-01-19,16,61.55
2014-01-19,17,53.7
2014-01-19,18,53.4
2014-01-19,19,59.85
2014-01-19,20,60.925
2014-01-19,24,44.025000000000006
2014-01-19,27,59.25
2014-01-19,28,64.8
2014-01-19,29,57.125
2014-01-19,30,57.25
2014-01-19,31,63.1
2014-01-19,47,51.025
2014-01-19,48,62.275
2014-01-19,54,59.375
2014-01-19,55,52.325
2014-01-19,86,55.175
2014-01-20,3,59.85
2014-01-20,4,64.9
2014-01-20,5,60.625
2014-01-20,8,68.125
2014-01-20,10,63.25
2014-01-20,11,68.25
2014-01-20,12,62.650000000000006
2014-01-20,13,56.125
2014-01-20,14,64.45
2014-01-20,16,62.224999999999994
2014-01-20,17,56.325
2014-01-20,18,55.8
2014-01-20,19,60.625
2014-01-20,20,61.2
2014-01-20,24,43.675
2014-01-20,27,60.925
2014-01-20,28,65.825
2014-01-20,29,57.075
2014-01-20,30,60.425
2014-01-20,31,61.975
2014-01-20,47,54.0
2014-01-20,48,62.075
2014-01-20,54,59.375
2014-01-20,55,54.1
2014-01-20,86,58.225
2014-01-21,3,59.85
2014-01-21,4,64.85
2014-01-21,5,61.075
2014-01-21,8,68.725
