fecha,periodo,laeq
2014-01-01,D,60.644
2014-01-01,E,61.176
2014-01-01,N,68.928
2014-01-01,T,66.156
2014-01-02,D,63.608000000000004
2014-01-02,E,63.42
2014-01-02,N,55.42
2014-01-02,T,62.48
2014-01-03,D,63.076
2014-01-03,E,63.136
2014-01-03,N,55.792
2014-01-03,T,61.856
2014-01-04,D,63.43600000000001
2014-01-04,E,62.536
2014-01-04,N,57.452
2014-01-04,T,62.176
2014-01-05,D,60.912
2014-01-05,E,61.676
2014-01-05,N,55.848
2014-01-05,T,60.224
2014-01-06,D,60.128
2014-01-06,E,61.34
2014-01-06,N,56.58
2014-01-06,T,60.088
2014-01-07,D,62.26
2014-01-07,E,61.476000000000006
2014-01-07,N,55.148
2014-01-07,T,60.76
2014-01-08,D,62.536
2014-01-08,E,61.22
2014-01-08,N,54.716
2014-01-08,T,60.924
2014-01-09,D,62.628
2014-01-09,E,61.7
2014-01-09,N,55.111999999999995
2014-01-09,T,61.104
2014-01-10,D,62.70399999999999
2014-01-10,E,62.66
2014-01-10,N,55.896
2014-01-10,T,61.70399999999999
2014-01-11,D,60.888000000000005
2014-01-11,E,61.776
2014-01-11,N,56.04
2014-01-11,T,60.303999999999995
2014-01-12,D,60.208
2014-01-12,E,59.512
2014-01-12,N,56.82
2014-01-12,T,59.343999999999994
2014-01-13,D,62.976000000000006
2014-01-13,E,60.94
2014-01-13,N,55.468
2014-01-13,T,61.26
2014-01-14,D,63.676
2014-01-14,E,61.248000000000005
2014-01-14,N,54.776
2014-01-14,T,61.812
2014-01-15,D,62.56399999999999
2014-01-15,E,61.368
2014-01-15,N,54.576
2014-01-15,T,60.992
2014-01-16,D,63.08
2014-01-16,E,61.78
2014-01-16,N,55.864
2014-01-16,T,61.496
2014-01-17,D,63.036
2014-01-17,E,61.964
2014-01-17,N,55.711999999999996
2014-01-17,T,61.56
2014-01-18,D,61.48
2014-01-18,E,62.083999999999996
2014-01-18,N,58.14
2014-01-18,T,60.876000000000005
2014-01-19,D,60.82
2014-01-19,E,60.156000000000006
2014-01-19,N,57.016000000000005
2014-01-19,T,59.856
2014-01-20,D,62.912
2014-01-20,E,61.188
2014-01-20,N,55.02
2014-01-20,T,61.211999999999996
2014-01-21,D,62.876000000000005
2014-01-21,E,62.516000000000005
2014-01-21,N,54.70399999999999
2014-01-21,T,61.48
2014-01-22,D,62.952
2014-01-22,E,62.083999999999996
2014-01-22,N,56.552
2014-01-22,T,61.472
2014-01-23,D,62.8
2014-01-23,E,61.608000000000004
2014-01-23,N,55.62
2014-01-23,T,61.272
2014-01-24,D,63.56
2014-01-24,E,62.28
2014-01-24,N,56.236000000000004
2014-01-24,T,62.052
2014-01-25,D,61.408
2014-01-25,E,61.268
2014-01-25,N,56.68
2014-01-25,T,60.488
2014-01-26,D,60.36
2014-01-26,E,60.2
2014-01-26,N,56.611999999999995
2014-01-26,T,59.708
2014-01-27,D,62.7
2014-01-27,E,61.236
2014-01-27,N,54.56
2014-01-27,T,61.048
2014-01-28,D,63.688
2014-01-28,E,61.108000000000004
2014-01-28,N,54.523999999999994
2014-01-28,T,61.792
2014-01-29,D,62.756
2014-01-29,E,61.492
2014-01-29,N,55.104
2014-01-29,T,61.168
2014-01-30,D,63.74
2014-01-30,E,62.083999999999996
2014-01-30,N,54.864
2014-01-30,T,61.244
2014-01-31,D,62.372
2014-01-31,E,61.836000000000006
2014-01-31,N,55.824
2014-01-31,T,61.123999999999995
2014-02-01,D,61.156000000000006
2014-02-01,E,60.88
2014-02-01,N,56.763999999999996
2014-02-01,T,60.211999999999996
2014-02-02,D,60.268
2014-02-02,E,59.82
2014-02-02,N,56.391999999999996
2014-02-02,T,59.376000000000005
2014-02-03,D,63.06
2014-02-03,E,61.276
2014-02-03,N,54.6
2014-02-03,T,61.29600000000001
2014-02-04,D,63.263999999999996
2014-02-04,E,62.348
2014-02-04,N,54.716
2014-02-04,T,61.66
2014-02-05,D,63.156000000000006
2014-02-05,E,61.812
2014-02-05,N,56.123999999999995
2014-02-05,T,61.588
2014-02-06,D,63.532
2014-02-06,E,63.364
2014-02-06,N,55.548
2014-02-06,T,62.16
2014-02-07,D,63.196000000000005
2014-02-07,E,62.11600000000001
2014-02-07,N,56.644
2014-02-07,T,61.784
2014-02-08,D,61.972
2014-02-08,E,61.228
2014-02-08,N,57.812
2014-02-08,T,60.9
2014-02-09,D,61.768
2014-02-09,E,61.8
2014-02-09,N,56.70399999999999
2014-02-09,T,60.864
2014-02-10,D,63.508
2014-02-10,E,61.224
2014-02-10,N,57.46
2014-02-10,T,61.88399999999999
2014-02-11,D,64.352
2014-02-11,E,62.284
2014-02-11,N,54.684
2014-02-11,T,62.508
2014-02-12,D,63.104
2014-02-12,E,62.0
2014-02-12,N,55.144
2014-02-12,T,61.504
2014-02-13,D,62.976000000000006
2014-02-13,E,61.412
2014-02-13,N,55.628
2014-02-13,T,61.328
2014-02-14,D,63.188
2014-02-14,E,62.464
2014-02-14,N,55.952
2014-02-14,T,61.836000000000006
2014-02-15,D,62.268
2014-02-15,E,61.476000000000006
2014-02-15,N,58.24
2014-02-15,T,61.443999999999996
2014-02-16,D,60.26
2014-02-16,E,60.08
2014-02-16,N,57.092
2014-02-16,T,59.424
2014-02-17,D,62.58
2014-02-17,E,61.02
2014-02-17,N,54.943999999999996
2014-02-17,T,60.912
2014-02-18,D,62.356
2014-02-18,E,61.396
2014-02-18,N,55.216
2014-02-18,T,60.912
2014-02-19,D,62.61600000000001
2014-02-19,E,61.548
2014-02-19,N,55.431999999999995
2014-02-19,T,61.14
2014-02-20,D,62.90833333333333
2014-02-20,E,61.576
2014-02-20,N,55.464
2014-02-20,T,61.376000000000005
2014-02-21,D,62.663999999999994
2014-02-21,E,61.556000000000004
2014-02-21,N,55.888000000000005
2014-02-21,T,61.196000000000005
2014-02-22,D,61.092
2014-02-22,E,61.276
2014-02-22,N,56.8
2014-02-22,T,60.332
2014-02-23,D,60.348
2014-02-23,E,60.11600000000001
2014-02-23,N,56.548
2014-02-23,T,59.5
2014-02-24,D,62.84
2014-02-24,E,61.128
2014-02-24,N,54.548
2014-02-24,T,61.11600000000001
2014-02-25,D,63.083999999999996
2014-02-25,E,61.88
2014-02-25,N,54.684
2014-02-25,T,61.46
2014-02-26,D,62.891999999999996
2014-02-26,E,61.388000000000005
2014-02-26,N,54.596000000000004
2014-02-26,T,61.2
2014-02-27,D,62.672
2014-02-27,E,62.343999999999994
2014-02-27,N,55.032
2014-02-27,T,61.28
2014-02-28,D,63.168
2014-02-28,E,61.716
2014-02-28,N,55.848
2014-02-28,T,61.583999999999996
2014-03-01,D,61.983999999999995
2014-03-01,E,61.708
2014-03-01,N,56.608000000000004
2014-03-01,T,60.86
2014-03-02,D,61.188
2014-03-02,E,60.596
2014-03-02,N,56.711999999999996
2014-03-02,T,60.224
2014-03-03,D,63.22
2014-03-03,E,61.364
2014-03-03,N,55.303999999999995
2014-03-03,T,61.476000000000006
2014-03-04,D,62.656000000000006
2014-03-04,E,61.232
2014-03-04,N,54.692
2014-03-04,T,61.0
2014-03-05,D,62.34
2014-03-05,E,62.08
2014-03-05,N,54.896
2014-03-05,T,61.132
2014-03-06,D,62.512
2014-03-06,E,61.132
2014-03-06,N,55.236000000000004
2014-03-06,T,60.9
2014-03-07,D,62.355999999999995
2014-03-07,E,61.82916666666667
2014-03-07,N,55.324
2014-03-07,T,60.943999999999996
2014-03-08,D,61.05416666666667
2014-03-08,E,61.65833333333333
2014-03-08,N,56.362500000000004
2014-03-08,T,60.27916666666667
2014-03-09,D,60.39166666666667
2014-03-09,E,59.85833333333333
2014-03-09,N,55.604166666666664
2014-03-09,T,59.34583333333333
2014-03-10,D,61.992
2014-03-10,E,60.748000000000005
2014-03-10,N,54.23333333333333
2014-03-10,T,60.468
2014-03-11,D,62.26
2014-03-11,E,60.864
2014-03-11,N,54.104
2014-03-11,T,60.596000000000004
2014-03-12,D,62.023999999999994
2014-03-12,E,61.004
2014-03-12,N,54.452
2014-03-12,T,60.46
2014-03-13,D,62.315999999999995
2014-03-13,E,61.32
2014-03-13,N,54.788000000000004
2014-03-13,T,60.768
2014-03-14,D,62.452
2014-03-14,E,61.528
2014-03-14,N,55.312
