estacion,nombre,year,month,ld,le,ln,laeq,l1,l10,l50,l90,l99,fecha,mes_nombre,year_month,month_name
RF-19,Alto de Extremadura,1998,9,,,,63.0,72.4,66.3,59.3,51.4,47.0,1998-09-01,Septiembre,1998-09,Septiembre
RF-16,Arturo Soria,1998,9,,,,59.5,67.8,61.6,56.0,45.3,39.1,1998-09-01,Septiembre,1998-09,Septiembre
RF-14,Plaza Elíptica,1998,9,,,,67.3,75.3,69.8,64.3,56.7,50.0,1998-09-01,Septiembre,1998-09,Septiembre
RF-11,Ramón y Cajal,1998,10,,,,70.3,77.2,72.9,68.8,56.8,46.3,1998-10-01,Octubre,1998-10,Octubre
RF-14,Plaza Elíptica,1998,10,,,,68.0,75.8,70.2,64.6,56.8,49.8,1998-10-01,Octubre,1998-10,Octubre
RF-19,Alto de Extremadura,1998,10,,,,63.4,72.8,66.3,59.7,51.6,44.2,1998-10-01,Octubre,1998-10,Octubre
RF-07,Plaza Marqués de Salamanca,1998,10,,,,73.1,88.4,69.9,63.6,51.8,42.1,1998-10-01,Octubre,1998-10,Octubre
RF-23,Calle de Alcalá final,1998,10,,,,62.9,68.8,65.8,61.9,54.9,48.0,1998-10-01,Octubre,1998-10,Octubre
RF-04,Plaza de España,1998,10,,,,66.3,74.0,68.8,64.5,59.6,54.8,1998-10-01,Octubre,1998-10,Octubre
RF-24,Casa de Campo,1998,10,,,,51.8,60.6,54.3,48.9,45.2,42.1,1998-10-01,Octubre,1998-10,Octubre
RF-06,Gregorio Marañón,1998,10,,,,72.5,80.2,75.6,70.2,63.1,55.2,1998-10-01,Octubre,1998-10,Octubre
RF-02,Carlos V,1998,10,,,,74.3,84.4,79.5,67.8,62.0,55.5,1998-10-01,Octubre,1998-10,Octubre
RF-16,Arturo Soria,1998,10,,,,60.1,68.6,62.0,56.3,45.6,39.3,1998-10-01,Octubre,1998-10,Octubre
RF-18,General Ricardos ubicación antigua,1998,10,,,,70.8,78.4,73.0,67.9,61.4,54.9,1998-10-01,Octubre,1998-10,Octubre
RF-20,Avenida de Moratalaz,1998,10,,,,64.6,74.6,67.4,60.1,50.1,40.7,1998-10-01,Octubre,1998-10,Octubre
RF-03,Plaza del Carmen,1998,11,,,,65.5,77.7,67.3,58.1,49.1,42.9,1998-11-01,Noviembre,1998-11,Noviembre
