estacion,laeq
RF-01,67.75331125827815
RF-02,68.54732824427481
RF-03,62.57932098765432
RF-04,65.50298013245033
RF-05,61.70841121495327
RF-06,69.91986531986532
RF-07,65.58666666666667
RF-08,67.65032258064515
RF-09,66.42706766917293
RF-10,64.69413580246913
RF-11,68.50282131661443
RF-12,64.07003058103976
RF-13,59.902531645569624
RF-14,65.54097859327217
RF-15,69.19083333333333
RF-16,60.77317073170731
RF-17,59.3481884057971
RF-18,58.925835866261394
RF-19,61.14030303030303
RF-20,62.04376899696049
RF-21,67.13533834586467
RF-22,64.85075757575757
RF-23,63.07185185185186
RF-24,49.887234042553196
RF-25,67.38975265017667
RF-26,62.203053435114505
RF-27,61.0615107913669
RF-28,65.39365671641791
RF-29,57.53056603773585
RF-30,59.58075471698113
RF-31,61.904020100502514
RF-47,55.838541666666664
RF-48,61.06010638297872
RF-50,65.34101123595507
RF-54,59.602659574468085
RF-55,55.740314136125654
RF-86,56.4125
