estacion,nombre,ubicacion,distrito,barrio,longitud,latitud,utm_x,utm_y,altitud,fecha_alta
RF-01,Paseo de Recoletos,Frente al n23 del Paseo de Recoletos,Centro,Justicia,-3.691877,40.422599,441307,4474893,648,2011-03-07
RF-02,Carlos V,"Plaza del Emperador Carlos V, junto al n1 del Paseo de la Infanta Isabel",Retiro,Jerónimos,-3.691509,40.409121,441327,4473397,629,1998-12-01
RF-03,Plaza del Carmen,Plaza del Carmen frente al n3 de la Calle de la Salud,Centro,Sol,-3.703175,40.419251,440346,4474529,657,1999-11-01
RF-04,Plaza de España,Frente al n18 de la Plaza de España,Moncloa - Aravaca,Argüelles,-3.712253,40.424005,439580,4475063,637,1998-12-01
RF-05,Barrio del Pilar,Parque de La Vaguada semiesquina de Avenida Monforte de Lemos con Calle Ginzo de Limia,Fuencarral - El Pardo,Pilar,-3.711543,40.478197,439688,4481078,673,1999-06-07
RF-06,Gregorio Marañón,Frente al Paseo de la Castellana n51,Chamberí,Almagro,-3.690758,40.437548,441415,4476552,669,1999-06-01
RF-08,Escuelas Aguirre,Junto a Calle Alcalá 62 (Dentro del recinto de la Casa Arabe),Salamanca,Recoletos,-3.682377,40.421575,442112,4474773,672,1998-12-01
RF-10,Cuatro Caminos,Frente al n18 de la Avenida Pablo Iglesias,Chamberí,Vallehermoso,-3.707157,40.445581,440031,4477454,699,1999-03-25
RF-11,Ramón y Cajal,Parque de Berlín junto al n210 de la Calle Príncipe de Vergara,Chamartín,Ciudad Jardín,-3.677359,40.451522,442563,4478094,708,1998-12-01
RF-12,Manuel Becerra,Junto a la entrada del Parque María Eva Duarte De Perón en la Plaza de Manuel Becerra,Salamanca,Guindalera,-3.668584,40.428741,443288,4475560,678,1998-12-01
RF-13,Vallecas,Frente al n26 de la Calle del Río San Lorenzo,Puente de Vallecas,Portazgo,-3.651506,40.388116,444704,4471039,677,1999-11-11
RF-14,Plaza Elíptica,Frente al n4 de la Avenida de Oporto,Carabanchel,Abrantes,-3.718807,40.384978,438989,4470735,605,2009-12-22
RF-16,Arturo Soria,Frente al n2 de la Calle del Vizconde de los Asilos,Ciudad Lineal,Quitana,-3.639284,40.440013,445783,4476792,698,1998-12-01
RF-17,Villaverde,Frente al n61 de la Calle de Palomares,Villaverde,Casco histórico de Villaverde,-3.713312,0.403471,439421,4466527,601,1998-12-01
RF-18,Farolillo,Frente al n1 de la Calle Farolillo,Carabanchel,San Isidro,-3.731786,40.394788,437896,4471833,625,1998-12-01
RF-19,Alto Extremadura,Frente al n4 de la Calle Hilario Sangrador,Latina,Lucero,-0.374195,40.407871,437046,4473293,632,1998-12-01
RF-20,Avenida de Moratalaz,Junto al lateral del n109 de la Calle Camino de los Vinateros,Moratalaz,Vinateros,-3.645215,40.408028,445254,4473246,671,1998-12-01
RF-24,Casa de Campo,Mirador junto a la Estación Teleférico Terminal,Moncloa - Aravaca,Casa de Campo,-3.747319,4.041939,436601,4474575,645,1998-12-01
RF-25,Santa Eugenia,Parque junto al n1 de la Calle Poza de la Sal,Villa de Vallecas,Santa Eugenia,-3.602561,40.379072,448851,4470006,653,1998-12-01
RF-26,Embajada,Parque junto al n2 de la Calle Soto Hidalgo,Barajas,Alameda de Osuna,-3.580128,40.459331,450814,4478902,618,2011-03-03
RF-27,Barajas Pueblo,Frente al n21 de la Calle Júpiter,Barajas,Casco histórico de Barajas,-3.580101,40.476929,450829,4480855,627,2002-05-24
RF-28,Cuatro Vientos,Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata,Latina,Águilas,-0.377783,4.037525,433969,4469698,678,2003-04-30
RF-29,El Pardo,Parque del Concejal Miguel Martín Vela,Fuencarral - El Pardo,El Pardo,-3.774551,40.517989,434387,4485540,616,2003-10-01
RF-30,Campo de las Naciones,Frente al n27 de la Calle Ribera del Sena,Barajas,Corralejos,-3.616317,40.460761,447747,4479082,687,2003-11-10
RF-31,Sanchinarro,Junto al n14 de la Calle María Tudor,Hortaleza,Valdefuentes,-3.660454,40.494254,444032,4482826,700,2009-07-14
RF-47,Mendez Álvaro,Frente al n13 de la Calle Juan de Mariana,Arganzuela,Delicias,-3.686808,40.398022,441716,4472162,609,2010-01-18
RF-48,Castellana,Jardin de Las Bellas Artes a la altura del n2 de la Calle José Gutierrez Abascal,Chamartín,El Viso,-3.690302,40.439854,441456,4476807,685,2010-05-04
RF-50,Plaza de Castilla,Frente al n9 de la Plaza Castilla,Chamartín,Nueva España,-3.688719,40.465628,441612,4479667,728,2011-02-28
RF-54,Ensanche de Vallecas,Esquina entre la Avenida de la Gavia y la Avenida de las Suertes,Villa de Vallecas,Ensanche de Vallecas,-0.036121,40.372993,448037,4469337,619,2009-12-15
RF-55,Urb Embajada 2,Frente al n13 de la Calle Riano,Barajas,Alameda de Osuna,-3.580599,40.462298,450776,4479232,619,2010-03-17
RF-86,Tres Olivos,Frente al n23 de la Avenida del Campo de Calatrava,Fuencarral - El Pardo,Valverde,-3.689643,40.500598,441564,4483550,715,2010-02-08
