CCAA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total Nacional,100.0,99.1711344180821,98.761457212102,99.304087558524,98.663407814947,98.2259472926444,97.6665768067639,98.2614756922508,98.5522387855888,99.6663861946914,100.448143858524,101.04875810641,100.067924913826,99.8221443292548,100.187631468766,99.7633779298487,99.9836882186837
Andalucía,98.24335462552,97.3808683773586,96.0502336701646,95.8734098122968,96.2863836568648,95.6224033741225,93.8738304950124,95.430977076441,95.1092373571923,97.6575886674871,96.3270752063991,97.8004582618988,97.531583114754,96.5838517527211,97.4053366792686,96.8480182067138,97.6692934767355
Aragón,104.665520658802,105.104032229094,104.671560244982,103.980765416916,103.854997607638,101.24372844339,102.009913369774,103.56386332373,103.507153991813,104.98832038083,105.015361880145,105.160683599236,104.967605225109,103.56155370084,104.365009130584,103.033659185169,102.971541089643
"Asturias, Principado de",104.694153292943,104.117801478086,104.823618163074,104.799106699986,104.114874450629,102.477115594393,102.11446342734,101.598634479283,103.343305129773,102.808435243151,103.194704478908,101.713543552641,101.577220370223,102.199418350253,102.777762527189,102.421108212416,103.144408482369
"Balears, Illes",98.6714693142856,97.1803342830419,97.3447117820807,96.1186885984375,96.9902375519518,95.7501272712919,95.0203048439925,95.3486320989846,99.342929570808,97.2576622987645,100.87267521979,101.463459084588,100.802315218584,98.9254900832728,99.1823815331683,99.4543371760069,100.680923341476
Canarias,95.6644856385528,92.8273453840277,94.6721330113385,94.8972564712805,93.8392574037312,93.3928778680683,92.7442978937386,90.7493898967424,91.1169230636869,93.4152865680124,96.357080003914,98.1924176092248,93.8410976607111,93.3183630200133,93.7433307725334,94.6786473170486,96.024483905686
Cantabria,101.758870680319,101.993936669651,100.28599803994,100.676960898318,101.530332802072,99.2321184653165,100.755928995781,101.74271193802,99.8021777398459,103.636770482151,102.118082871538,103.304159518971,103.029870271622,103.317719108241,103.808949451486,101.944209646146,101.810276246163
Castilla y León,102.104825638149,101.475279490621,100.652809453136,101.862998521894,101.970930426023,101.854716152559,100.54985036092,101.267201260902,101.945371907994,103.194625561188,104.572915272237,104.954879324161,104.146284006408,103.18894964631,103.020726382532,102.579198897735,102.520707347526
Castilla - La Mancha,100.024681168385,99.3727964952633,98.3904953958658,99.2638135360248,97.384368298598,97.224165579564,98.3660911593073,97.4821488953087,97.2559814288021,99.2116874647786,99.3465598697073,101.110808720342,101.709900555824,100.214396616795,100.214614384986,99.8278766439553,99.1078966275167
Cataluña,100.714003305403,99.541897855599,99.5239819451619,99.8553217973693,98.6850831711615,99.5905237172957,99.2779362592699,99.5268793833508,100.501704458953,101.037127566921,102.20687883968,101.743578516197,100.230433593799,100.662185053774,100.18643108302,100.423806946389,100.246344707556
Comunitat Valenciana,98.6649323477765,98.1395297414811,98.3617044816066,99.4427603963953,97.5217287079786,97.529178170459,96.2139308890311,97.142733288115,97.1251375605301,97.4844049295382,100.636800438158,101.129525166477,99.155332150781,100.135473080741,101.16646144403,99.578916188202,99.3372105343314
Extremadura,98.7434209628105,99.654570136618,96.2625576071564,98.6865038235335,98.0487521343687,96.2790325004122,96.5290489416278,97.3770918906459,97.3915218121381,96.5333312645986,97.7244162135304,98.9145313452154,98.1384678552871,98.8699915514518,98.8652249200156,98.5241015079507,99.4639614621722
Galicia,100.780387351322,99.6436733589835,99.6817020816349,100.68929250239,99.928356533409,99.2204518804788,98.6419123192069,99.3851381303227,99.7784144951763,101.50400580993,102.884732549506,103.116302618411,101.902559524539,102.255287499883,102.214553417411,100.774277714803,102.140383063391
"Madrid, Comunidad de",99.2813880161616,99.0739275549721,98.9953328011444,99.8612046086506,99.0686087426158,98.366695866433,98.6530843548186,99.2688733601189,98.9640644818466,99.5413659233887,100.490067395415,101.042230422217,100.34111674556,100.244255670727,100.663699311464,100.694291517951,100.392714192527
"Murcia, Región de",98.8812842031347,95.4285783563783,94.0165597187875,97.3769038919553,95.8330155343813,94.6135922009772,94.1189468456031,94.8932631212363,95.8251592221715,96.8261116845016,97.156373863435,98.4162241311149,98.0194786914955,97.4693512894904,98.9624637489151,98.3232951023126,98.297082512529
"Navarra, Comunidad Foral de",104.713249631264,104.824788750042,104.460386630627,105.011584234185,104.93391062124,105.426123447229,104.870445925351,104.729877285676,104.46022811795,107.109598640172,104.752314868661,105.844139278425,103.959785712769,104.241875133475,103.651376738819,102.680503814632,102.829160017814
País Vasco,104.575572438557,104.336898767102,103.823479629545,103.214546293359,103.953127901645,103.356767738438,103.600942603391,103.930613588709,104.443407232719,104.525169907233,104.627088588608,104.403954508078,104.305977818636,104.358907118626,104.927526743527,104.480852897779,104.881779961847
"Rioja, La",102.051077824955,101.545811232164,100.968837431927,100.586818112426,100.950636802094,99.9424917901675,101.0698649728,101.217556865541,102.264621589891,104.799521809033,103.334615988404,105.715890779201,105.315513609791,104.552676710745,104.729641131586,103.134005615322,103.832003912614
Ceuta,90.964279815984,89.8406964510596,92.4255805561777,92.1194523206003,87.17331415608,85.6546602798322,87.0001081834126,88.4854926365325,90.0499667148059,91.8636689973638,88.8893721382465,92.1818092741147,91.0279183460637,89.7628123670586,90.0072458543662,90.6864364663457,91.2470588309751
Melilla,100.800953619003,98.605229344283,96.7858188664585,95.8669805267596,103.213536253717,96.3539446516623,97.6715660654336,96.3012244124508,96.8266334078093,99.1843986127872,98.5365752336448,95.0796854302795,92.141051086375,93.0509196750364,94.4105687028616,94.6600523546379,93.0993535533768
