dim,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Global,100,99.6345693642588,99.9651315251688,100.259843265218,100.16256254446,99.9108305824532,100.089988711422,100.366084518228,100.650384173738,101.096815526631,101.584055422948,101.906591734275,101.633697084907,101.559292784177,101.138772195429,101.202614134272,101.467222585803
1. Condiciones materiales de vida,100,99.1711344180821,98.761457212102,99.304087558524,98.663407814947,98.2259472926444,97.6665768067639,98.2614756922508,98.5522387855888,99.6663861946914,100.448143858524,101.04875810641,100.067924913826,99.8221443292548,100.187631468766,99.7633779298487,99.9836882186837
2. Trabajo,100,98.3458792335089,97.2994417547907,95.9902927161478,95.0266753146034,94.0769894041933,94.485209372137,95.2737819047193,96.1112716819917,97.2315443225861,98.9582353034592,99.7471885028981,99.9237606511701,99.6276985849932,100.830857368917,101.756664188453,102.335091501436
3. Salud,100,99.225386972885,100.231552687167,101.656363594871,101.568570270406,100.552128428727,101.827690304534,101.969651806272,102.607826536499,103.568939139066,102.881002992346,103.869402475185,102.048269003386,101.298106200796,103.069806201933,101.855348431985,103.285735708769
4. Educación,100,100.110585051467,101.174039050977,101.844574681109,102.2764873601,102.844659139595,102.597361193774,103.020489898978,103.350112837397,103.840667395991,104.54700237752,105.032832991711,105.865869933722,108.420165002421,108.99867333493,109.567865588266,110.112882409822
5. Ocio y relaciones sociales,100,100.0,100.0,100.0,100.0,100.0,100.0,100.327446498006,100.327446498006,100.327446498006,98.5401074878562,98.5401074878562,98.5401074878562,97.7924986598586,94.1531287025554,94.1341094830543,93.9012532467569
6. Seguridad física y personal,100,99.6327792349672,100.338385823906,100.908946574942,101.126533947608,100.669721442986,101.299776850755,101.881647245457,101.915851439392,102.126779721743,101.521352696219,101.150133081683,101.817448738862,101.359731669014,100.417957131694,100.227728855035,100.292223505576
7. Gobernanza y derechos básicos,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.5620685459341,98.5620685459341,98.5620685459341
8. Entorno y medioambiente,100,100.225359367418,101.881307197575,102.634324261369,102.801388192476,102.828029533933,102.93328387483,102.560267618365,102.988709784767,103.109576467592,102.956436123702,103.366684995824,102.035675068434,102.020775531424,101.542259520291,101.998836790235,102.030264416561
9. Experiencia general de la vida,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,104.404217966906,104.404217966906,104.404217966906,103.692515079833,102.486567483843,102.957527395635,102.701795718685
