dim,año,valor_evolucion,dim_num,hoja,CCAA,valor_madrid
Global,2008,100.0,,AMPI_Global,"Madrid, Comunidad de",100.656935744848
1. Condiciones materiales de vida,2008,100.0,1.0,Dimensión 1,"Madrid, Comunidad de",99.2813880161616
2. Trabajo,2008,100.0,2.0,Dimensión 2,"Madrid, Comunidad de",102.443178911338
3. Salud,2008,100.0,3.0,Dimensión 3,"Madrid, Comunidad de",103.489365738653
4. Educación,2008,100.0,4.0,Dimensión 4,"Madrid, Comunidad de",104.808558577724
5. Ocio y relaciones sociales,2008,100.0,5.0,Dimensión 5,"Madrid, Comunidad de",101.086654506126
6. Seguridad física y personal,2008,100.0,6.0,Dimensión 6,"Madrid, Comunidad de",93.4582932109055
7. Gobernanza y derechos básicos,2008,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2008,100.0,8.0,Dimensión 8,"Madrid, Comunidad de",99.3572618849752
9. Experiencia general de la vida,2008,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
Global,2009,99.6345693642588,,AMPI_Global,"Madrid, Comunidad de",100.337919811021
1. Condiciones materiales de vida,2009,99.1711344180821,1.0,Dimensión 1,"Madrid, Comunidad de",99.0739275549721
2. Trabajo,2009,98.3458792335089,2.0,Dimensión 2,"Madrid, Comunidad de",101.286921973919
3. Salud,2009,99.225386972885,3.0,Dimensión 3,"Madrid, Comunidad de",103.026298811517
4. Educación,2009,100.110585051467,4.0,Dimensión 4,"Madrid, Comunidad de",104.300916543399
5. Ocio y relaciones sociales,2009,100.0,5.0,Dimensión 5,"Madrid, Comunidad de",101.086654506126
6. Seguridad física y personal,2009,99.6327792349672,6.0,Dimensión 6,"Madrid, Comunidad de",93.2009667723959
7. Gobernanza y derechos básicos,2009,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2009,100.225359367418,8.0,Dimensión 8,"Madrid, Comunidad de",99.0778712791094
9. Experiencia general de la vida,2009,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
Global,2010,99.9651315251688,,AMPI_Global,"Madrid, Comunidad de",100.850898222602
1. Condiciones materiales de vida,2010,98.761457212102,1.0,Dimensión 1,"Madrid, Comunidad de",98.9953328011444
2. Trabajo,2010,97.2994417547907,2.0,Dimensión 2,"Madrid, Comunidad de",100.068555448859
3. Salud,2010,100.231552687167,3.0,Dimensión 3,"Madrid, Comunidad de",103.10305012318
4. Educación,2010,101.174039050977,4.0,Dimensión 4,"Madrid, Comunidad de",105.974979219627
5. Ocio y relaciones sociales,2010,100.0,5.0,Dimensión 5,"Madrid, Comunidad de",101.086654506126
6. Seguridad física y personal,2010,100.338385823906,6.0,Dimensión 6,"Madrid, Comunidad de",94.386103056016
7. Gobernanza y derechos básicos,2010,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2010,101.881307197575,8.0,Dimensión 8,"Madrid, Comunidad de",102.055687990721
9. Experiencia general de la vida,2010,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
Global,2011,100.259843265218,,AMPI_Global,"Madrid, Comunidad de",101.197793958033
1. Condiciones materiales de vida,2011,99.304087558524,1.0,Dimensión 1,"Madrid, Comunidad de",99.8612046086506
2. Trabajo,2011,95.9902927161478,2.0,Dimensión 2,"Madrid, Comunidad de",98.7863463664475
3. Salud,2011,101.656363594871,3.0,Dimensión 3,"Madrid, Comunidad de",103.627107594859
4. Educación,2011,101.844574681109,4.0,Dimensión 4,"Madrid, Comunidad de",108.170192095952
5. Ocio y relaciones sociales,2011,100.0,5.0,Dimensión 5,"Madrid, Comunidad de",101.086654506126
6. Seguridad física y personal,2011,100.908946574942,6.0,Dimensión 6,"Madrid, Comunidad de",94.8701112472706
7. Gobernanza y derechos básicos,2011,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2011,102.634324261369,8.0,Dimensión 8,"Madrid, Comunidad de",102.390808345245
9. Experiencia general de la vida,2011,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
Global,2012,100.16256254446,,AMPI_Global,"Madrid, Comunidad de",101.32647848472
1. Condiciones materiales de vida,2012,98.663407814947,1.0,Dimensión 1,"Madrid, Comunidad de",99.0686087426158
2. Trabajo,2012,95.0266753146034,2.0,Dimensión 2,"Madrid, Comunidad de",98.1993859101483
3. Salud,2012,101.568570270406,3.0,Dimensión 3,"Madrid, Comunidad de",105.494034372227
4. Educación,2012,102.2764873601,4.0,Dimensión 4,"Madrid, Comunidad de",107.496162217583
5. Ocio y relaciones sociales,2012,100.0,5.0,Dimensión 5,"Madrid, Comunidad de",101.086654506126
6. Seguridad física y personal,2012,101.126533947608,6.0,Dimensión 6,"Madrid, Comunidad de",95.5010514836601
7. Gobernanza y derechos básicos,2012,100.0,7.0,Dimensión 7,"Madrid, Comunidad de",102.848400898167
8. Entorno y medioambiente,2012,102.801388192476,8.0,Dimensión 8,"Madrid, Comunidad de",103.10468827237
9. Experiencia general de la vida,2012,100.0,9.0,Dimensión 9,"Madrid, Comunidad de",99.1393199595814
