secciones,periodo,municipio_codigo,municipio_nombre,renta_media
"2800401001 Álamo, El sección 01001",2018,28004,"Álamo, El",11.75
"2800401001 Álamo, El sección 01001",2019,28004,"Álamo, El",14.0
"2800401001 Álamo, El sección 01001",2020,28004,"Álamo, El",11.4
"2800401001 Álamo, El sección 01001",2021,28004,"Álamo, El",22.8
"2800401001 Álamo, El sección 01001",2022,28004,"Álamo, El",20.9
"2800401001 Álamo, El sección 01001",2023,28004,"Álamo, El",17.666666666666668
"2800401002 Álamo, El sección 01002",2015,28004,"Álamo, El",18.333333333333332
"2800401002 Álamo, El sección 01002",2016,28004,"Álamo, El",18.333333333333332
"2800401002 Álamo, El sección 01002",2017,28004,"Álamo, El",24.0
"2800401002 Álamo, El sección 01002",2018,28004,"Álamo, El",18.25
"2800401002 Álamo, El sección 01002",2019,28004,"Álamo, El",13.0
"2800401002 Álamo, El sección 01002",2020,28004,"Álamo, El",20.5
"2800401002 Álamo, El sección 01002",2021,28004,"Álamo, El",14.444444444444445
"2800401002 Álamo, El sección 01002",2022,28004,"Álamo, El",20.714285714285715
"2800401002 Álamo, El sección 01002",2023,28004,"Álamo, El",17.6
2800502008 Alcalá de Henares sección 02008,2019,28005,Alcalá de Henares,16.2
2800502008 Alcalá de Henares sección 02008,2020,28005,Alcalá de Henares,19.166666666666668
2800502008 Alcalá de Henares sección 02008,2021,28005,Alcalá de Henares,17.833333333333332
2800502038 Alcalá de Henares sección 02038,2022,28005,Alcalá de Henares,42.0
2800502038 Alcalá de Henares sección 02038,2023,28005,Alcalá de Henares,25.75
2800503014 Alcalá de Henares sección 03014,2015,28005,Alcalá de Henares,15.9
2800503014 Alcalá de Henares sección 03014,2016,28005,Alcalá de Henares,17.75
2800503014 Alcalá de Henares sección 03014,2017,28005,Alcalá de Henares,7.0
2800503014 Alcalá de Henares sección 03014,2018,28005,Alcalá de Henares,21.8
2800503014 Alcalá de Henares sección 03014,2019,28005,Alcalá de Henares,10.4
2800503014 Alcalá de Henares sección 03014,2020,28005,Alcalá de Henares,21.0
2800503014 Alcalá de Henares sección 03014,2021,28005,Alcalá de Henares,22.5
2800503018 Alcalá de Henares sección 03018,2023,28005,Alcalá de Henares,36.0
2800504001 Alcalá de Henares sección 04001,2016,28005,Alcalá de Henares,33.8
2800504001 Alcalá de Henares sección 04001,2017,28005,Alcalá de Henares,7.0
2800504001 Alcalá de Henares sección 04001,2018,28005,Alcalá de Henares,38.77777777777778
2800504001 Alcalá de Henares sección 04001,2019,28005,Alcalá de Henares,56.0
2800504001 Alcalá de Henares sección 04001,2020,28005,Alcalá de Henares,28.2
2800504001 Alcalá de Henares sección 04001,2021,28005,Alcalá de Henares,5.0
2800504007 Alcalá de Henares sección 04007,2017,28005,Alcalá de Henares,6.0
2800504007 Alcalá de Henares sección 04007,2018,28005,Alcalá de Henares,25.0
2800504007 Alcalá de Henares sección 04007,2019,28005,Alcalá de Henares,27.5
2800504007 Alcalá de Henares sección 04007,2020,28005,Alcalá de Henares,28.25
2800504007 Alcalá de Henares sección 04007,2021,28005,Alcalá de Henares,31.714285714285715
2800504017 Alcalá de Henares sección 04017,2015,28005,Alcalá de Henares,25.666666666666668
2800504017 Alcalá de Henares sección 04017,2016,28005,Alcalá de Henares,19.0
2800504017 Alcalá de Henares sección 04017,2017,28005,Alcalá de Henares,4.5
2800504017 Alcalá de Henares sección 04017,2021,28005,Alcalá de Henares,21.0
2800504017 Alcalá de Henares sección 04017,2022,28005,Alcalá de Henares,17.9
2800504017 Alcalá de Henares sección 04017,2023,28005,Alcalá de Henares,20.88888888888889
2800504018 Alcalá de Henares sección 04018,2019,28005,Alcalá de Henares,1.0
2800504018 Alcalá de Henares sección 04018,2020,28005,Alcalá de Henares,10.25
2800504018 Alcalá de Henares sección 04018,2021,28005,Alcalá de Henares,11.0
2800601002 Alcobendas sección 01002,2018,28006,Alcobendas,23.5
2800601002 Alcobendas sección 01002,2019,28006,Alcobendas,16.25
2800601002 Alcobendas sección 01002,2020,28006,Alcobendas,12.4
2800601002 Alcobendas sección 01002,2021,28006,Alcobendas,14.8
2800601002 Alcobendas sección 01002,2022,28006,Alcobendas,14.857142857142858
2800601002 Alcobendas sección 01002,2023,28006,Alcobendas,17.4
2800601004 Alcobendas sección 01004,2015,28006,Alcobendas,7.0
2800601004 Alcobendas sección 01004,2016,28006,Alcobendas,14.0
2800601004 Alcobendas sección 01004,2017,28006,Alcobendas,25.5
2800601004 Alcobendas sección 01004,2018,28006,Alcobendas,15.75
2800601004 Alcobendas sección 01004,2019,28006,Alcobendas,23.4
2800601004 Alcobendas sección 01004,2020,28006,Alcobendas,16.272727272727273
2800601004 Alcobendas sección 01004,2021,28006,Alcobendas,20.5
2800601004 Alcobendas sección 01004,2022,28006,Alcobendas,12.7
2800601004 Alcobendas sección 01004,2023,28006,Alcobendas,18.857142857142858
2800601009 Alcobendas sección 01009,2016,28006,Alcobendas,10.666666666666666
2800601009 Alcobendas sección 01009,2017,28006,Alcobendas,42.666666666666664
2800601009 Alcobendas sección 01009,2018,28006,Alcobendas,16.0
2800601009 Alcobendas sección 01009,2019,28006,Alcobendas,16.0
2800601009 Alcobendas sección 01009,2020,28006,Alcobendas,18.555555555555557
2800601009 Alcobendas sección 01009,2021,28006,Alcobendas,12.25
2800601009 Alcobendas sección 01009,2022,28006,Alcobendas,16.5
2800601009 Alcobendas sección 01009,2023,28006,Alcobendas,17.571428571428573
2800601036 Alcobendas sección 01036,2022,28006,Alcobendas,75.0
2800601037 Alcobendas sección 01037,2015,28006,Alcobendas,29.5
2800601037 Alcobendas sección 01037,2016,28006,Alcobendas,49.5
