barrio,hora_cierre_media,num_locales,num_terrazas
ABRANTES,15.870089285714286,112,5
ACACIAS,16.429716981132074,318,27
ADELFAS,18.316111111111113,90,4
AEROPUERTO,9.56060606060606,121,0
ALAMEDA DE OSUNA,15.987083333333334,80,4
ALMAGRO,14.874739583333334,512,40
ALMENARA,14.812387387387387,222,12
ALMENDRALES,13.329926335174955,181,8
ALUCHE,14.83673007246377,367,32
AMPOSTA,16.27820512820513,26,1
APOSTOL SANTIAGO,10.364333333333335,50,8
ARAPILES,15.17619825708061,306,30
ARAVACA,14.63896247240618,151,10
ARCOS,14.395934959349594,82,7
ARGUELLES,14.160820512820512,324,29
ATALAYA,18.833333333333332,12,0
ATOCHA,16.749444444444446,60,2
BELLAS VISTAS,15.546582984658299,239,6
BERRUGUETE,15.251718983557549,223,9
BUENAVISTA,14.362362637362637,364,16
BUTARQUE,14.00536398467433,87,14
CAMPAMENTO,13.19811320754717,53,4
CANILLAS,16.055459770114943,232,14
CANILLEJAS,15.227848101265822,158,12
CASA DE CAMPO,14.666333333333332,150,9
CASCO H.BARAJAS,14.686078431372549,85,10
CASCO H.VALLECAS,15.232054356514787,417,18
CASCO H.VICALVARO,15.820600858369097,233,4
CASTELLANA,15.564689265536723,585,49
CASTILLA,17.31826923076923,208,13
CASTILLEJOS,14.424381188118812,403,40
CHOPERA,15.958851224105462,177,15
CIUDAD JARDIN,16.78662864385298,263,12
CIUDAD UNIVERSITARIA,14.08650137741047,121,8
COLINA,16.166666666666668,57,1
COMILLAS,15.146759259259259,180,13
CONCEPCION,16.33289760348584,153,4
CORRALEJOS,16.676599326599327,98,8
CORTES,11.38601598173516,292,26
COSTILLARES,17.086213991769547,162,4
CUATRO CAMINOS,16.057704219899342,861,49
CUATRO VIENTOS,13.451388888888888,24,1
DELICIAS,14.818076285240465,200,24
EL CAÃAVERAL,12.07089552238806,66,13
EL GOLOSO,14.119896640826873,126,28
EL PARDO,12.6875,8,1
EL PILAR,15.67422334172964,396,14
EL PLANTIO,13.980555555555556,78,0
EL SALVADOR,12.656904761904762,70,12
EL VISO,15.325659824046921,341,38
EMBAJADORES,13.65485436893204,617,47
ENSANCHE DE VALLECAS,14.585691318327973,307,51
ENTREVIAS,16.03977777777778,75,5
ESTRELLA,16.947619047619046,91,1
FONTARRON,15.961217948717948,52,2
FUENTE DEL BERRO,16.5414551607445,196,7
FUENTELARREINA,13.25,4,1
GAZTAMBIDE,15.45,392,30
GOYA,15.614369747899158,591,51
GUINDALERA,16.169940476190476,392,11
HELLIN,19.675,10,0
HISPANOAMERICA,15.682121212121212,437,56
HORCAJO,12.821428571428571,27,4
IBIZA,12.841056910569105,287,57
IMPERIAL,14.81941056910569,164,16
JUSTICIA,13.423018458197612,612,37
LA PAZ,15.339285714285714,224,9
LAS AGUILAS,15.087414965986394,195,11
LEGAZPI,15.340909090909092,164,19
LISTA,15.012183235867447,341,35
LOS ANGELES,14.145271867612292,141,3
LOS CARMENES,10.990384615384615,52,7
LOS JERONIMOS,14.853367003367003,99,6
LOS ROSALES,16.149040139616055,191,4
LUCERO,15.46967418546366,133,9
MARROQUINA,14.073129251700681,194,30
MEDIA LEGUA,14.283555555555555,75,8
MIRASIERRA,13.421744791666667,127,17
MOSCARDO,14.394244244244243,333,10
NIÃO JESUS,14.285046728971963,106,10
NUEVA ESPAÃA,14.848367117117117,293,44
NUMANCIA,15.216021126760564,284,12
OPAÃEL,15.12924107142857,224,17
ORCASITAS,11.705555555555556,51,9
ORCASUR,14.172424242424242,55,3
PACIFICO,14.605625,320,40
PALACIO,12.260360360360359,405,46
PALOMAS,11.557692307692308,25,5
PALOMERAS BAJAS,15.255128205128203,143,9
PALOMERAS SURESTE,14.909635416666667,128,9
PALOS DE LA FRONTERA,15.409354838709676,309,21
PAVONES,12.866666666666667,15,0
PEÃA GRANDE,17.01622807017544,152,10
PINAR DEL REY,16.50106516290727,266,15
PIOVERA,15.434901960784314,84,13
PORTAZGO,15.782505175983436,161,12
PRADOLONGO,16.30798611111111,192,0
PROSPERIDAD,16.178454231433506,386,24
PUEBLO NUEVO,15.193605036447979,503,16
PUERTA BONITA,16.800729927007296,137,4
PUERTA DEL ANGEL,13.969252077562325,361,24
QUINTANA,15.145940170940172,234,15
RECOLETOS,15.472193097422455,761,58
REJAS,15.067275494672755,219,1
RIOS ROSAS,13.543129432624113,376,34
ROSAS,14.661356932153392,225,29
SAN ANDRES,15.53589263420724,534,16
SAN CRISTOBAL,11.035714285714286,28,5
SAN DIEGO,15.051702786377708,323,14
SAN FERMIN,13.470930232558139,86,8
SAN ISIDRO,14.0453125,192,8
SAN JUAN BAUTISTA,16.100493827160495,135,7
SAN PASCUAL,17.32792207792208,154,3
SANTA EUGENIA,14.393333333333334,80,5
SIMANCAS,16.531461483081355,462,21
SOL,11.222103004291846,466,62
TIMON,13.773835125448029,93,12
TRAFALGAR,13.778439425051335,486,66
UNIVERSIDAD,13.388212025316456,632,27
VALDEACEDERAS,14.63785140562249,166,3
VALDEBERNARDO,16.959558823529413,68,8
VALDEFUENTES,15.058523908523908,480,44
VALDEMARIN,11.76910569105691,41,2
VALDERRIVAS,15.931818181818182,22,3
VALDEZARZA,16.993111111111112,75,3
VALLEHERMOSO,14.7136815920398,201,29
VALVERDE,15.107432432432432,515,39
VENTAS,15.300877192982457,323,10
VINATEROS,15.641869918699186,41,3
VISTA ALEGRE,14.835762483130905,494,28
ZOFIO,15.11577380952381,56,2
