Estación;Nombre;Año;Mes;Ld;Le;Ln;LAeq;L1;L10;L50;L90;L99
RF-01;Paseo de Recoletos;1998;11;N/D;N/D;N/D;69,9;77;72,8;68,1;60,3;53,8
RF-01;Paseo de Recoletos;1998;12;N/D;N/D;N/D;68,2;75,2;71,3;66,2;59,1;53,1
RF-01;Paseo de Recoletos;1999;1;N/D;N/D;N/D;69,6;75,9;73;67,5;59,6;53
RF-01;Paseo de Recoletos;1999;2;N/D;N/D;N/D;69,9;77,2;72,9;68;60;52,9
RF-01;Paseo de Recoletos;1999;3;N/D;N/D;N/D;69,8;76,5;72,7;68,1;60,1;53,3
RF-01;Paseo de Recoletos;1999;4;N/D;N/D;N/D;69,3;75,8;72,3;67,6;59,6;53,2
RF-01;Paseo de Recoletos;1999;5;N/D;N/D;N/D;69,2;75,9;72,2;67,6;59,7;53,1
RF-01;Paseo de Recoletos;1999;6;N/D;N/D;N/D;69,2;75,8;72;67,7;59,9;53,4
RF-01;Paseo de Recoletos;1999;7;N/D;N/D;N/D;69;75,6;71,9;67,4;59,7;54,1
RF-01;Paseo de Recoletos;1999;8;N/D;N/D;N/D;68,4;74,9;71,7;66,4;58,3;52,9
RF-01;Paseo de Recoletos;1999;9;N/D;N/D;N/D;69,2;75,6;72,3;67,7;59,9;53,5
RF-01;Paseo de Recoletos;1999;10;N/D;N/D;N/D;69,7;76,3;72,7;68,1;60,3;54
RF-01;Paseo de Recoletos;1999;11;N/D;N/D;N/D;70;76,4;73,1;68,2;60;53,5
RF-01;Paseo de Recoletos;1999;12;N/D;N/D;N/D;68,1;75,6;71,8;64,5;28,4;28
RF-01;Paseo de Recoletos;2000;1;N/D;N/D;N/D;69,9;76;73,1;67,5;58,1;28,2
RF-01;Paseo de Recoletos;2000;2;N/D;N/D;N/D;69,8;76;72,9;68,2;60,4;53,9
RF-01;Paseo de Recoletos;2000;3;N/D;N/D;N/D;69,7;76,2;72,8;68,1;60,4;53,9
RF-01;Paseo de Recoletos;2000;4;N/D;N/D;N/D;69,9;76,7;73,1;68;60,4;54,2
RF-01;Paseo de Recoletos;2000;5;N/D;N/D;N/D;69,6;76,6;72,4;67,5;59,5;53,4
RF-01;Paseo de Recoletos;2000;6;N/D;N/D;N/D;69,2;75,5;72,1;67,7;60,1;53,7
RF-01;Paseo de Recoletos;2000;7;N/D;N/D;N/D;68,9;74,8;71,9;67,1;59,5;54,1
RF-01;Paseo de Recoletos;2000;8;N/D;N/D;N/D;68,4;74,6;71,7;66,3;58,3;52,9
RF-01;Paseo de Recoletos;2000;9;N/D;N/D;N/D;69,1;75,4;72,1;67,4;59,6;53,5
RF-01;Paseo de Recoletos;2000;10;N/D;N/D;N/D;69,6;76,2;72,5;67,6;59,9;53,4
RF-01;Paseo de Recoletos;2000;11;N/D;N/D;N/D;70,2;76,7;73,4;68,4;60,8;54,4
RF-01;Paseo de Recoletos;2000;12;N/D;N/D;N/D;69,1;75,4;72,1;67,4;59,6;53,5
RF-01;Paseo de Recoletos;2001;1;N/D;N/D;N/D;70,1;76,3;73,4;67,8;60,3;53,9
RF-01;Paseo de Recoletos;2001;2;N/D;N/D;N/D;69,9;76;73,1;68,2;60,4;54,1
RF-01;Paseo de Recoletos;2001;3;N/D;N/D;N/D;70;76,3;73;68,3;60,9;54,4
RF-01;Paseo de Recoletos;2001;4;N/D;N/D;N/D;69,3;75,7;72,5;67,4;59,3;53,1
RF-01;Paseo de Recoletos;2001;5;N/D;N/D;N/D;69,4;75,8;72,5;67,6;59,5;53
RF-01;Paseo de Recoletos;2001;6;N/D;N/D;N/D;69;75,3;71,9;67,5;59,7;53,5
RF-01;Paseo de Recoletos;2001;7;N/D;N/D;N/D;68,9;75;71,9;67,4;59,4;53,5
RF-01;Paseo de Recoletos;2001;8;N/D;N/D;N/D;68,9;76,3;72,2;66,8;58,4;53,6
RF-01;Paseo de Recoletos;2001;9;N/D;N/D;N/D;69,1;75,6;72,4;67,2;59,2;53,9
RF-01;Paseo de Recoletos;2001;10;N/D;N/D;N/D;69,4;76,3;72,6;67,2;59,6;53,9
RF-01;Paseo de Recoletos;2001;11;N/D;N/D;N/D;70;76,2;73,4;67,9;60,1;54,9
RF-01;Paseo de Recoletos;2001;12;N/D;N/D;N/D;68,6;75,6;72;66,2;59,2;53,2
RF-01;Paseo de Recoletos;2002;1;N/D;N/D;N/D;69,8;75,9;73,5;67,5;59,5;53,1
RF-01;Paseo de Recoletos;2002;2;N/D;N/D;N/D;69,8;75,7;73;68,2;60,2;54,1
RF-01;Paseo de Recoletos;2002;3;N/D;N/D;N/D;69,7;75,9;73,3;67,7;59,4;52,9
RF-01;Paseo de Recoletos;2002;4;N/D;N/D;N/D;69,6;76,1;72,8;67,7;59,5;52,2
RF-01;Paseo de Recoletos;2002;5;N/D;N/D;N/D;70,1;78;72,6;67,4;58,9;52,6
RF-01;Paseo de Recoletos;2002;6;N/D;N/D;N/D;68,7;75,1;71,6;66,9;59,2;53,1
RF-01;Paseo de Recoletos;2002;7;N/D;N/D;N/D;68,6;75,2;71,6;66,8;59,1;53,2
RF-01;Paseo de Recoletos;2002;8;N/D;N/D;N/D;68,1;74,6;71,6;66;58,1;52,5
RF-01;Paseo de Recoletos;2002;9;N/D;N/D;N/D;68,8;75,2;71,9;67;59;52,6
RF-01;Paseo de Recoletos;2002;10;N/D;N/D;N/D;69,4;76,5;72,4;67,4;59,5;53,3
RF-01;Paseo de Recoletos;2002;11;N/D;N/D;N/D;69,8;76,1;73,1;68,1;60,2;54
RF-01;Paseo de Recoletos;2002;12;N/D;N/D;N/D;68,9;76;72;66,5;59,5;53,6
RF-01;Paseo de Recoletos;2003;1;N/D;N/D;N/D;69,5;75,8;73;67,3;59,7;53,3
RF-01;Paseo de Recoletos;2003;2;N/D;N/D;N/D;69,8;75,9;73,2;68;60,2;53,7
RF-01;Paseo de Recoletos;2003;3;N/D;N/D;N/D;69,4;75,7;72,6;67,6;59,9;53,5
RF-01;Paseo de Recoletos;2003;4;N/D;N/D;N/D;69;75,4;72,3;67,3;59,4;53,3
RF-01;Paseo de Recoletos;2003;5;N/D;N/D;N/D;68,7;75,4;71,8;66,9;59,3;53,1
RF-01;Paseo de Recoletos;2003;6;N/D;N/D;N/D;68,7;75,1;71,6;67,1;59,8;53,7
RF-01;Paseo de Recoletos;2003;7;N/D;N/D;N/D;68,9;74,8;71,6;66,9;59,5;53,6
RF-01;Paseo de Recoletos;2003;8;N/D;N/D;N/D;67,8;74,2;71,1;65,7;58,4;53
RF-01;Paseo de Recoletos;2003;9;N/D;N/D;N/D;68,8;75,5;71,9;67;59,4;53,3
RF-01;Paseo de Recoletos;2003;10;N/D;N/D;N/D;69,7;76,3;72,8;67,6;60;53,3
RF-01;Paseo de Recoletos;2003;11;N/D;N/D;N/D;69,9;76,3;73,2;68,1;60,4;54,2
RF-01;Paseo de Recoletos;2003;12;N/D;N/D;N/D;68,9;76;72,1;66,4;59,5;53,4
RF-01;Paseo de Recoletos;2004;1;N/D;N/D;N/D;69,3;75,8;72,9;66,9;59,5;53,3
RF-01;Paseo de Recoletos;2004;2;N/D;N/D;N/D;70;76,5;73,5;68,1;60,3;54
RF-01;Paseo de Recoletos;2004;3;N/D;N/D;N/D;69,9;76,3;73,3;67,9;60;53,2
RF-01;Paseo de Recoletos;2004;4;N/D;N/D;N/D;69,1;75,4;72,5;67,2;59,4;53,4
RF-01;Paseo de Recoletos;2004;5;N/D;N/D;N/D;69,2;75,9;72,5;67,2;59,6;53,2
RF-01;Paseo de Recoletos;2004;6;N/D;N/D;N/D;68,6;74,8;71,7;67;59,6;53,4
RF-01;Paseo de Recoletos;2004;7;N/D;N/D;N/D;68,4;74,4;71,5;66,7;59,4;53,6
