Sexo	Edad	Salud mental	SI o NO_salud mental	periodo	Total
AMBOS SEXOS	TOTAL	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
AMBOS SEXOS	TOTAL	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
AMBOS SEXOS	TOTAL	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	20,32
AMBOS SEXOS	TOTAL	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	16,97
AMBOS SEXOS	TOTAL	Poco interés o alegría por hacer cosas	No	Durante pandemia	79,68
AMBOS SEXOS	TOTAL	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	83,03
AMBOS SEXOS	TOTAL	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
AMBOS SEXOS	TOTAL	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
AMBOS SEXOS	TOTAL	Sensación de estar decaído o deprimido	Sí	Durante pandemia	20,99
AMBOS SEXOS	TOTAL	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	18,18
AMBOS SEXOS	TOTAL	Sensación de estar decaído o deprimido	No	Durante pandemia	79,01
AMBOS SEXOS	TOTAL	Sensación de estar decaído o deprimido	No	Anterior a pandemia	81,82
AMBOS SEXOS	TOTAL	Problemas para dormir	Total	Durante pandemia	100,00
AMBOS SEXOS	TOTAL	Problemas para dormir	Total	Anterior a pandemia	100,00
AMBOS SEXOS	TOTAL	Problemas para dormir	Sí	Durante pandemia	21,22
AMBOS SEXOS	TOTAL	Problemas para dormir	Sí	Anterior a pandemia	19,21
AMBOS SEXOS	TOTAL	Problemas para dormir	No	Durante pandemia	78,78
AMBOS SEXOS	TOTAL	Problemas para dormir	No	Anterior a pandemia	80,79
AMBOS SEXOS	TOTAL	Sensación de cansancio	Total	Durante pandemia	100,00
AMBOS SEXOS	TOTAL	Sensación de cansancio	Total	Anterior a pandemia	100,00
AMBOS SEXOS	TOTAL	Sensación de cansancio	Sí	Durante pandemia	19,52
AMBOS SEXOS	TOTAL	Sensación de cansancio	Sí	Anterior a pandemia	24,57
AMBOS SEXOS	TOTAL	Sensación de cansancio	No	Durante pandemia	80,48
AMBOS SEXOS	TOTAL	Sensación de cansancio	No	Anterior a pandemia	75,43
AMBOS SEXOS	TOTAL	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
AMBOS SEXOS	TOTAL	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
AMBOS SEXOS	TOTAL	Poco apetido o comer demasiado	Sí	Durante pandemia	10,16
AMBOS SEXOS	TOTAL	Poco apetido o comer demasiado	Sí	Anterior a pandemia	11,28
AMBOS SEXOS	TOTAL	Poco apetido o comer demasiado	No	Durante pandemia	89,84
AMBOS SEXOS	TOTAL	Poco apetido o comer demasiado	No	Anterior a pandemia	88,72
AMBOS SEXOS	TOTAL	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
AMBOS SEXOS	TOTAL	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
AMBOS SEXOS	TOTAL	Sentirse mal con uno mismo	Sí	Durante pandemia	6,42
AMBOS SEXOS	TOTAL	Sentirse mal con uno mismo	Sí	Anterior a pandemia	8,13
AMBOS SEXOS	TOTAL	Sentirse mal con uno mismo	No	Durante pandemia	93,58
AMBOS SEXOS	TOTAL	Sentirse mal con uno mismo	No	Anterior a pandemia	91,87
AMBOS SEXOS	TOTAL	Problemas para concentrarse	Total	Durante pandemia	100,00
AMBOS SEXOS	TOTAL	Problemas para concentrarse	Total	Anterior a pandemia	100,00
AMBOS SEXOS	TOTAL	Problemas para concentrarse	Sí	Durante pandemia	7,26
AMBOS SEXOS	TOTAL	Problemas para concentrarse	Sí	Anterior a pandemia	8,21
AMBOS SEXOS	TOTAL	Problemas para concentrarse	No	Durante pandemia	92,74
AMBOS SEXOS	TOTAL	Problemas para concentrarse	No	Anterior a pandemia	91,79
AMBOS SEXOS	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
AMBOS SEXOS	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
AMBOS SEXOS	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	5,51
AMBOS SEXOS	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	5,90
AMBOS SEXOS	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	94,49
AMBOS SEXOS	TOTAL	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	94,10
AMBOS SEXOS	De 15 a 44 años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	16,59
AMBOS SEXOS	De 15 a 44 años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	12,46
AMBOS SEXOS	De 15 a 44 años	Poco interés o alegría por hacer cosas	No	Durante pandemia	83,41
AMBOS SEXOS	De 15 a 44 años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	87,54
AMBOS SEXOS	De 15 a 44 años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	15,86
AMBOS SEXOS	De 15 a 44 años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	11,98
AMBOS SEXOS	De 15 a 44 años	Sensación de estar decaído o deprimido	No	Durante pandemia	84,14
AMBOS SEXOS	De 15 a 44 años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	88,02
AMBOS SEXOS	De 15 a 44 años	Problemas para dormir	Total	Durante pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Problemas para dormir	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Problemas para dormir	Sí	Durante pandemia	16,90
AMBOS SEXOS	De 15 a 44 años	Problemas para dormir	Sí	Anterior a pandemia	13,89
AMBOS SEXOS	De 15 a 44 años	Problemas para dormir	No	Durante pandemia	83,10
AMBOS SEXOS	De 15 a 44 años	Problemas para dormir	No	Anterior a pandemia	86,11
AMBOS SEXOS	De 15 a 44 años	Sensación de cansancio	Total	Durante pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Sensación de cansancio	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Sensación de cansancio	Sí	Durante pandemia	15,46
AMBOS SEXOS	De 15 a 44 años	Sensación de cansancio	Sí	Anterior a pandemia	20,24
AMBOS SEXOS	De 15 a 44 años	Sensación de cansancio	No	Durante pandemia	84,54
AMBOS SEXOS	De 15 a 44 años	Sensación de cansancio	No	Anterior a pandemia	79,76
AMBOS SEXOS	De 15 a 44 años	Poco apetido o comer demasiado	Total	Durante pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Poco apetido o comer demasiado	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Poco apetido o comer demasiado	Sí	Durante pandemia	8,82
AMBOS SEXOS	De 15 a 44 años	Poco apetido o comer demasiado	Sí	Anterior a pandemia	9,11
AMBOS SEXOS	De 15 a 44 años	Poco apetido o comer demasiado	No	Durante pandemia	91,18
AMBOS SEXOS	De 15 a 44 años	Poco apetido o comer demasiado	No	Anterior a pandemia	90,89
AMBOS SEXOS	De 15 a 44 años	Sentirse mal con uno mismo	Total	Durante pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Sentirse mal con uno mismo	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Sentirse mal con uno mismo	Sí	Durante pandemia	5,21
AMBOS SEXOS	De 15 a 44 años	Sentirse mal con uno mismo	Sí	Anterior a pandemia	5,87
AMBOS SEXOS	De 15 a 44 años	Sentirse mal con uno mismo	No	Durante pandemia	94,79
AMBOS SEXOS	De 15 a 44 años	Sentirse mal con uno mismo	No	Anterior a pandemia	94,13
AMBOS SEXOS	De 15 a 44 años	Problemas para concentrarse	Total	Durante pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Problemas para concentrarse	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Problemas para concentrarse	Sí	Durante pandemia	4,29
AMBOS SEXOS	De 15 a 44 años	Problemas para concentrarse	Sí	Anterior a pandemia	4,98
AMBOS SEXOS	De 15 a 44 años	Problemas para concentrarse	No	Durante pandemia	95,71
AMBOS SEXOS	De 15 a 44 años	Problemas para concentrarse	No	Anterior a pandemia	95,02
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Durante pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Durante pandemia	3,16
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	Sí	Anterior a pandemia	3,09
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	No	Durante pandemia	96,84
AMBOS SEXOS	De 15 a 44 años	Moverse o hablar más lento o más rápido de lo habitual	No	Anterior a pandemia	96,91
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	Sí	Durante pandemia	19,84
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	Sí	Anterior a pandemia	16,84
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	No	Durante pandemia	80,16
AMBOS SEXOS	De 45 a 64 años	Poco interés o alegría por hacer cosas	No	Anterior a pandemia	83,16
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	Sí	Durante pandemia	21,44
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	Sí	Anterior a pandemia	18,96
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	No	Durante pandemia	78,56
AMBOS SEXOS	De 45 a 64 años	Sensación de estar decaído o deprimido	No	Anterior a pandemia	81,04
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	Total	Durante pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	Total	Anterior a pandemia	100,00
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	Sí	Durante pandemia	21,38
AMBOS SEXOS	De 45 a 64 años	Problemas para dormir	Sí	Anterior a pandemia	19,87
